Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT1G13640.Araport11.447;Name=AT1G13640									1.0	1.0	1.0	3.0	3.0									1.0	1.0	1.0	3.0	3.0													
ID=AT1G72990.Araport11.447;Name=AT1G72990																																							
ID=AT1G11230.Araport11.447;Name=AT1G11230				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	6.0												2.0	4.0				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT1G67640.Araport11.447;Name=AT1G67640				2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT1G44760.Araport11.447;Name=AT1G44760				1.0	1.0	2.0	2.0	2.0	2.0	5.0	6.0	11.0	11.0						1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	8.0	8.0
ID=AT1G35516.Araport11.447;Name=AT1G35516					1.0	2.0	4.0	5.0	6.0	6.0	8.0	14.0	21.0							1.0	2.0	2.0	2.0	4.0	9.0	11.0					1.0	2.0	3.0	3.0	4.0	4.0	4.0	5.0	10.0
ID=AT1G52580.Araport11.447;Name=AT1G52580										1.0	3.0	6.0	6.0																							1.0	3.0	6.0	6.0
ID=AT1G22210.Araport11.447;Name=AT1G22210								1.0	1.0	1.0	1.0	3.0	5.0												2.0	3.0								1.0	1.0	1.0	1.0	1.0	2.0
ID=AT1G75770.Araport11.447;Name=AT1G75770																																							
ID=AT1G69820.Araport11.447;Name=AT1G69820				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G72680.Araport11.447;Name=AT1G72680				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G44080.Araport11.447;Name=AT1G44080	2.0	3.0	3.0	3.0	4.0	4.0	5.0	5.0	7.0	7.0	7.0	8.0	10.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	6.0	6.0	6.0	7.0	8.0
ID=AT1G33230.Araport11.447;Name=AT1G33230			2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	6.0	6.0												4.0	4.0			2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT1G61575.Araport11.447;Name=AT1G61575													1.0																										1.0
ID=AT1G21528.Araport11.447;Name=AT1G21528							1.0	1.0	1.0	1.0	1.0	2.0	2.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0												1.0	1.0
ID=AT1G26530.Araport11.447;Name=AT1G26530												1.0	4.0												1.0	1.0													3.0
ID=AT1G61340.Araport11.447;Name=AT1G61340												1.0	1.0												1.0	1.0													
ID=AT1G35430.Araport11.447;Name=AT1G35430				1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	8.0	8.0				1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0												3.0	3.0
ID=AT1G18050.Araport11.447;Name=AT1G18050	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT1G73540.Araport11.447;Name=AT1G73540																																							
ID=AT1G20600.Araport11.447;Name=AT1G20600			1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0			1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0											1.0	1.0	1.0
ID=AT1G14755.Araport11.447;Name=AT1G14755																																							
ID=AT1G61040.Araport11.447;Name=AT1G61040	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G54830.Araport11.447;Name=AT1G54830													1.0																										1.0
ID=AT1G79340.Araport11.447;Name=AT1G79340								1.0	1.0	1.0	1.0	1.0	3.0								1.0	1.0	1.0	1.0	1.0	3.0													
ID=AT1G63300.Araport11.447;Name=AT1G63300													1.0																										1.0
ID=AT1G57680.Araport11.447;Name=AT1G57680							1.0	1.0	1.0	1.0	1.0	3.0	3.0																				1.0	1.0	1.0	1.0	1.0	3.0	3.0
ID=AT1G29140.Araport11.447;Name=AT1G29140												1.0	1.0																									1.0	1.0
ID=AT1G55110.Araport11.447;Name=AT1G55110	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	7.0	8.0	9.0	15.0	16.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	7.0	8.0	9.0	14.0	15.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0
ID=AT1G55420.Araport11.447;Name=AT1G55420	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0	7.0	11.0	12.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	8.0	9.0
ID=AT1G14250.Araport11.447;Name=AT1G14250																																							
ID=AT1G67775.Araport11.447;Name=AT1G67775													1.0																										1.0
ID=AT1G46768.Araport11.447;Name=AT1G46768			1.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	6.0	7.0			1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0				3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0
ID=AT1G78880.Araport11.447;Name=AT1G78880																																							
ID=AT1G69588.Araport11.447;Name=AT1G69588	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	6.0	11.0	12.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	9.0	9.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0
ID=AT1G73590.Araport11.447;Name=AT1G73590																																							
ID=AT1G72660.Araport11.447;Name=AT1G72660								1.0	1.0	1.0	1.0	1.0	1.0																					1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G79850.Araport11.447;Name=AT1G79850																																							
ID=AT1G32740.Araport11.447;Name=AT1G32740													1.0													1.0													
ID=AT1G79320.Araport11.447;Name=AT1G79320									2.0	3.0	3.0	3.0	3.0									1.0	2.0	2.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0
ID=AT1G29600.Araport11.447;Name=AT1G29600					1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0																		1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
ID=AT1G67856.Araport11.447;Name=AT1G67856																																							
ID=AT1G57730.Araport11.447;Name=AT1G57730												1.0	1.0												1.0	1.0													
ID=AT1G64550.Araport11.447;Name=AT1G64550									2.0	2.0	2.0	2.0	2.0																						2.0	2.0	2.0	2.0	2.0
ID=AT1G21470.Araport11.447;Name=AT1G21470													2.0													1.0													1.0
ID=AT1G73660.Araport11.447;Name=AT1G73660																																							
ID=AT1G65070.Araport11.447;Name=AT1G65070				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G13870.Araport11.447;Name=AT1G13870				1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0											1.0	2.0	2.0
ID=AT1G68710.Araport11.447;Name=AT1G68710													1.0																										1.0
ID=AT1G29195.Araport11.447;Name=AT1G29195									2.0	3.0	3.0	5.0	5.0									2.0	3.0	3.0	4.0	4.0												1.0	1.0
ID=AT1G50500.Araport11.447;Name=AT1G50500													2.0																										2.0
ID=AT1G61105.Araport11.447;Name=AT1G61105												2.0	2.0												2.0	2.0													
ID=AT1G19310.Araport11.447;Name=AT1G19310												1.0	1.0																									1.0	1.0
ID=AT1G31740.Araport11.447;Name=AT1G31740	6.0	6.0	6.0	7.0	8.0	9.0	10.0	10.0	13.0	15.0	15.0	16.0	19.0	6.0	6.0	6.0	7.0	8.0	8.0	9.0	9.0	10.0	10.0	10.0	10.0	11.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	7.0	9.0	11.0	11.0	12.0	14.0
ID=AT1G33990.Araport11.447;Name=AT1G33990											3.0	5.0	6.0													1.0											3.0	5.0	5.0
ID=AT1G79270.Araport11.447;Name=AT1G79270											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT1G66245.Araport11.447;Name=AT1G66245								1.0	1.0	1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G67310.Araport11.447;Name=AT1G67310						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G65610.Araport11.447;Name=AT1G65610																																							
ID=AT1G53880.Araport11.447;Name=AT1G53880				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G62570.Araport11.447;Name=AT1G62570	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G64380.Araport11.447;Name=AT1G64380																																							
ID=AT1G43020.Araport11.447;Name=AT1G43020			1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	10.0	14.0												2.0	3.0			1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	8.0	11.0
ID=AT1G72160.Araport11.447;Name=AT1G72160																																							
ID=AT1G72620.Araport11.447;Name=AT1G72620												1.0	1.0												1.0	1.0													
ID=AT1G27920.Araport11.447;Name=AT1G27920																																							
ID=AT1G60650.Araport11.447;Name=AT1G60650																																							
ID=AT1G07220.Araport11.447;Name=AT1G07220																																							
ID=AT1G14130.Araport11.447;Name=AT1G14130																																							
ID=AT1G23350.Araport11.447;Name=AT1G23350							3.0	3.0	3.0	4.0	5.0	5.0	5.0																				3.0	3.0	3.0	4.0	5.0	5.0	5.0
ID=AT1G55040.Araport11.447;Name=AT1G55040									1.0	1.0	1.0	1.0	2.0									1.0	1.0	1.0	1.0	1.0													1.0
ID=AT1G23660.Araport11.447;Name=AT1G23660								1.0	1.0	2.0	2.0	2.0	2.0								1.0	1.0	2.0	2.0	2.0	2.0													
ID=AT1G35630.Araport11.447;Name=AT1G35630		1.0	2.0	4.0	6.0	6.0	8.0	10.0	10.0	10.0	10.0	11.0	13.0			1.0	3.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	7.0		1.0	1.0	1.0	1.0	1.0	3.0	4.0	4.0	4.0	4.0	5.0	6.0
ID=AT1G53860.Araport11.447;Name=AT1G53860													1.0													1.0													
ID=AT1G32360.Araport11.447;Name=AT1G32360	3.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	8.0	8.0	9.0	11.0	15.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	8.0	8.0	9.0	11.0	15.0
ID=AT1G18440.Araport11.447;Name=AT1G18440																																							
ID=AT1G08260.Araport11.447;Name=AT1G08260				1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0				1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0													
ID=AT1G68580.Araport11.447;Name=AT1G68580												1.0	1.0																									1.0	1.0
ID=AT1G71010.Araport11.447;Name=AT1G71010						1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0						1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0													
ID=AT1G80245.Araport11.447;Name=AT1G80245		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G02640.Araport11.447;Name=AT1G02640											1.0	1.0	2.0											1.0	1.0	1.0													1.0
ID=AT1G31930.Araport11.447;Name=AT1G31930									1.0	1.0	1.0	1.0	4.0													3.0									1.0	1.0	1.0	1.0	1.0
ID=AT1G56240.Araport11.447;Name=AT1G56240						1.0	2.0	2.0	3.0	3.0	4.0	4.0	8.0													4.0						1.0	2.0	2.0	3.0	3.0	4.0	4.0	4.0
ID=AT1G29830.Araport11.447;Name=AT1G29830	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G49750.Araport11.447;Name=AT1G49750								1.0	2.0	2.0	2.0	2.0	6.0								1.0	2.0	2.0	2.0	2.0	6.0													
ID=AT1G02630.Araport11.447;Name=AT1G02630							1.0	1.0	1.0	1.0	1.0	1.0	1.0																				1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G67000.Araport11.447;Name=AT1G67000				1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	4.0	4.0				1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	4.0	4.0													
ID=AT1G12130.Araport11.447;Name=AT1G12130												6.0	7.0												6.0	7.0													
ID=AT1G20630.Araport11.447;Name=AT1G20630													1.0													1.0													
ID=AT1G67680.Araport11.447;Name=AT1G67680												1.0	1.0																									1.0	1.0
ID=AT1G04600.Araport11.447;Name=AT1G04600										2.0	2.0	2.0	2.0																							2.0	2.0	2.0	2.0
ID=AT1G27970.Araport11.447;Name=AT1G27970			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G54217.Araport11.447;Name=AT1G54217																																							
ID=AT1G28120.Araport11.447;Name=AT1G28120				2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G44920.Araport11.447;Name=AT1G44920								4.0	7.0	8.0	8.0	9.0	11.0								4.0	7.0	8.0	8.0	8.0	9.0												1.0	2.0
ID=AT1G13755.Araport11.447;Name=AT1G13755																																							
ID=AT1G26945.Araport11.447;Name=AT1G26945							1.0	1.0	1.0	1.0	1.0	2.0	2.0																				1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT1G63970.Araport11.447;Name=AT1G63970													1.0																										1.0
ID=AT1G67870.Araport11.447;Name=AT1G67870																																							
ID=AT1G50520.Araport11.447;Name=AT1G50520																																							
ID=AT1G62850.Araport11.447;Name=AT1G62850													1.0																										1.0
ID=AT1G26480.Araport11.447;Name=AT1G26480		1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	4.0
ID=AT1G74040.Araport11.447;Name=AT1G74040													1.0																										1.0
ID=AT1G28230.Araport11.447;Name=AT1G28230	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	7.0	12.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	7.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
ID=AT1G31500.Araport11.447;Name=AT1G31500				1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	5.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	5.0													
ID=AT1G15820.Araport11.447;Name=AT1G15820	3.0	3.0	3.0	5.0	5.0	5.0	5.0	6.0	7.0	8.0	9.0	20.0	22.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	9.0	9.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	14.0	16.0
ID=AT1G06350.Araport11.447;Name=AT1G06350							1.0	1.0	1.0	1.0	1.0	1.0	2.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													1.0
ID=AT1G72690.Araport11.447;Name=AT1G72690									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT1G66220.Araport11.447;Name=AT1G66220												1.0	1.0												1.0	1.0													
ID=AT1G29030.Araport11.447;Name=AT1G29030											1.0	3.0	3.0																								1.0	3.0	3.0
ID=AT1G59870.Araport11.447;Name=AT1G59870				1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0																	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0
ID=AT1G59620.Araport11.447;Name=AT1G59620												2.0	2.0																									2.0	2.0
ID=AT1G64390.Araport11.447;Name=AT1G64390										1.0	1.0	1.0	2.0										1.0	1.0	1.0	1.0													1.0
ID=AT1G14680.Araport11.447;Name=AT1G14680									2.0	2.0	2.0	2.0	2.0																						2.0	2.0	2.0	2.0	2.0
ID=AT1G61190.Araport11.447;Name=AT1G61190					1.0	1.0	1.0	2.0	4.0	4.0	5.0	5.0	5.0					1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0								1.0	3.0	3.0	3.0	3.0	3.0
ID=AT1G18730.Araport11.447;Name=AT1G18730						1.0	1.0	1.0	1.0	1.0	3.0	4.0	4.0											2.0	3.0	3.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G62710.Araport11.447;Name=AT1G62710										1.0	1.0	1.0	2.0																							1.0	1.0	1.0	2.0
ID=AT1G26390.Araport11.447;Name=AT1G26390										3.0	4.0	7.0	7.0										1.0	2.0	5.0	5.0										2.0	2.0	2.0	2.0
ID=AT1G28695.Araport11.447;Name=AT1G28695										1.0	1.0	7.0	10.0										1.0	1.0	4.0	5.0												3.0	5.0
ID=AT1G26690.Araport11.447;Name=AT1G26690												1.0	1.0																									1.0	1.0
ID=AT1G75160.Araport11.447;Name=AT1G75160																																							
ID=AT1G03280.Araport11.447;Name=AT1G03280												1.0	1.0																									1.0	1.0
ID=AT1G24310.Araport11.447;Name=AT1G24310				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT1G10155.Araport11.447;Name=AT1G10155																																							
ID=AT1G10620.Araport11.447;Name=AT1G10620																																							
ID=AT1G34047.Araport11.447;Name=AT1G34047				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0																	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0
ID=AT1G26090.Araport11.447;Name=AT1G26090						1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0						1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0													1.0
ID=AT1G66420.Araport11.447;Name=AT1G66420				1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0													
ID=AT1G65250.Araport11.447;Name=AT1G65250												1.0	1.0																									1.0	1.0
ID=AT1G09415.Araport11.447;Name=AT1G09415																																							
ID=AT1G59660.Araport11.447;Name=AT1G59660												1.0	1.0												1.0	1.0													
ID=AT1G10900.Araport11.447;Name=AT1G10900																																							
ID=AT1G51820.Araport11.447;Name=AT1G51820							1.0	1.0	1.0	1.0	1.0	2.0	3.0												1.0	2.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G52905.Araport11.447;Name=AT1G52905	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
ID=AT1G75940.Araport11.447;Name=AT1G75940					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0																		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
ID=AT1G11840.Araport11.447;Name=AT1G11840												1.0	2.0												1.0	1.0													1.0
ID=AT1G61165.Araport11.447;Name=AT1G61165										1.0	1.0	2.0	2.0																							1.0	1.0	2.0	2.0
ID=AT1G71270.Araport11.447;Name=AT1G71270																																							
ID=AT1G52460.Araport11.447;Name=AT1G52460																																							
ID=AT1G68390.Araport11.447;Name=AT1G68390	1.0	1.0	1.0	1.0	2.0	4.0	4.0	8.0	9.0	9.0	9.0	10.0	10.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0	8.0	9.0	9.0	9.0	10.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G64090.Araport11.447;Name=AT1G64090																																							
ID=AT1G08670.Araport11.447;Name=AT1G08670																																							
ID=AT1G19070.Araport11.447;Name=AT1G19070	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	5.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0	5.0
ID=AT1G10720.Araport11.447;Name=AT1G10720																																							
ID=AT1G78370.Araport11.447;Name=AT1G78370										1.0	3.0	7.0	9.0											1.0	1.0	2.0										1.0	2.0	6.0	7.0
ID=AT1G64360.Araport11.447;Name=AT1G64360													3.0													3.0													
ID=AT1G51520.Araport11.447;Name=AT1G51520																																							
ID=AT1G67670.Araport11.447;Name=AT1G67670												1.0	1.0												1.0	1.0													
ID=AT1G22275.Araport11.447;Name=AT1G22275																																							
ID=AT1G14140.Araport11.447;Name=AT1G14140																																							
ID=AT1G11410.Araport11.447;Name=AT1G11410																																							
ID=AT1G60430.Araport11.447;Name=AT1G60430											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT1G51830.Araport11.447;Name=AT1G51830									1.0	1.0	1.0	3.0	3.0									1.0	1.0	1.0	2.0	2.0												1.0	1.0
ID=AT1G19025.Araport11.447;Name=AT1G19025										1.0	1.0	2.0	2.0																							1.0	1.0	2.0	2.0
ID=AT1G30250.Araport11.447;Name=AT1G30250			1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	4.0											1.0	2.0	2.0			1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
ID=AT1G02300.Araport11.447;Name=AT1G02300																																							
ID=AT1G80050.Araport11.447;Name=AT1G80050																																							
ID=AT1G16970.Araport11.447;Name=AT1G16970							1.0	1.0	1.0	1.0	1.0	1.0	1.0																				1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G50320.Araport11.447;Name=AT1G50320							1.0	1.0	1.0	1.0	3.0	4.0	5.0							1.0	1.0	1.0	1.0	2.0	2.0	3.0											1.0	2.0	2.0
ID=AT1G16470.Araport11.447;Name=AT1G16470																																							
ID=AT1G28130.Araport11.447;Name=AT1G28130						1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0												2.0	2.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G56380.Araport11.447;Name=AT1G56380					1.0	1.0	1.0	1.0	4.0	4.0	6.0	6.0	6.0																		1.0	1.0	1.0	1.0	4.0	4.0	6.0	6.0	6.0
ID=AT1G77330.Araport11.447;Name=AT1G77330																																							
ID=AT1G50090.Araport11.447;Name=AT1G50090					1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	4.0																		1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	4.0
ID=AT1G62280.Araport11.447;Name=AT1G62280																																							
ID=AT1G44890.Araport11.447;Name=AT1G44890			1.0	1.0	3.0	5.0	6.0	6.0	6.0	6.0	7.0	7.0	8.0			1.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0						1.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0
ID=AT1G62840.Araport11.447;Name=AT1G62840													1.0													1.0													
ID=AT1G15970.Araport11.447;Name=AT1G15970	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G27460.Araport11.447;Name=AT1G27460																																							
ID=AT1G65910.Araport11.447;Name=AT1G65910													1.0													1.0													
ID=AT1G16650.Araport11.447;Name=AT1G16650						1.0	1.0	2.0	2.0	2.0	2.0	4.0	6.0												2.0	2.0						1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0
ID=AT1G55890.Araport11.447;Name=AT1G55890																																							
ID=AT1G28560.Araport11.447;Name=AT1G28560																																							
ID=AT1G47271.Araport11.447;Name=AT1G47271								1.0	1.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT1G73870.Araport11.447;Name=AT1G73870																																							
ID=AT1G50830.Araport11.447;Name=AT1G50830								3.0	3.0	3.0	3.0	5.0	6.0													1.0								3.0	3.0	3.0	3.0	5.0	5.0
ID=AT1G13560.Araport11.447;Name=AT1G13560																																							
ID=AT1G55475.Araport11.447;Name=AT1G55475							1.0	2.0	2.0	2.0	2.0	3.0	3.0							1.0	2.0	2.0	2.0	2.0	3.0	3.0													
ID=AT1G02410.Araport11.447;Name=AT1G02410												1.0	1.0																									1.0	1.0
ID=AT1G35580.Araport11.447;Name=AT1G35580		1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0	8.0	11.0									1.0	2.0	2.0	5.0	7.0		1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0
ID=AT1G31335.Araport11.447;Name=AT1G31335											1.0	1.0	2.0																								1.0	1.0	2.0
